lsoa_code,theft_count,shoplifting_count,theft_from_person_count,bicycle_theft_count,other_theft_count
E01000847,37,0,13,5,19
E01000848,52,3,32,2,15
E01000849,33,4,14,5,10
E01000850,1148,141,591,30,386
E01000851,359,8,126,14,211
E01000853,184,28,58,7,91
E01000855,1240,76,728,41,395
E01000856,131,38,61,9,23
E01000857,17,0,10,2,5
E01000858,764,443,220,13,88
E01000859,79,20,24,6,29
E01000860,36,1,14,7,14
E01000861,178,2,105,7,64
E01000862,241,4,153,11,73
E01000863,1373,238,746,28,361
E01000866,58,3,30,8,17
E01000867,70,8,39,6,17
E01000868,16,1,4,2,9
E01000869,34,0,18,0,16
E01000870,15,1,5,3,6
E01000871,102,84,2,0,16
E01000872,80,30,9,5,36
E01000873,20,0,2,2,16
E01000874,12,0,3,1,8
E01000875,13,0,3,2,8
E01000876,11,0,3,3,5
E01000877,23,0,13,1,9
E01000878,12,0,3,1,8
E01000879,45,33,6,1,5
E01000880,8,0,0,0,8
E01000881,46,1,20,5,20
E01000882,48,0,30,6,12
E01000883,202,45,94,1,62
E01000884,4,0,1,1,2
E01000885,13,0,0,0,13
E01000886,27,0,11,6,10
E01000887,77,5,38,7,27
E01000888,31,0,11,4,16
E01000889,13,0,6,1,6
E01000890,14,0,5,2,7
E01000891,27,3,8,1,15
E01000892,17,0,6,3,8
E01000893,24,0,12,7,5
E01000894,79,42,24,3,10
E01000895,213,116,40,3,54
E01000896,58,12,18,6,22
E01000897,33,0,21,3,9
E01000898,312,150,84,8,70
E01000899,32,0,16,1,15
E01000900,26,0,13,2,11
E01000901,22,0,5,2,15
E01000902,10,0,4,2,4
E01000903,23,0,7,3,13
E01000904,131,62,39,4,26
E01000905,40,2,19,9,10
E01000906,118,16,71,7,24
E01000907,14,0,6,0,8
E01000908,8,0,1,1,6
E01000909,34,4,12,7,11
E01000910,19,0,7,2,10
E01000911,13,0,4,2,7
E01000912,71,1,25,19,26
E01000913,40,1,10,6,23
E01000914,1032,89,462,31,450
E01000915,68,0,21,5,42
E01000916,301,51,105,18,127
E01000917,81,27,32,2,20
E01000918,870,41,363,27,439
E01000919,2171,163,1407,38,563
E01000920,183,31,79,13,60
E01000921,94,45,24,5,20
E01000922,106,28,33,7,38
E01000923,19,0,6,3,10
E01000924,20,1,5,2,12
E01000925,11,0,3,3,5
E01000926,21,1,12,1,7
E01000927,82,15,26,18,23
E01000928,232,199,10,4,19
E01000929,12,1,5,0,6
E01000930,128,67,21,7,33
E01000931,210,138,37,4,31
E01000932,9,0,4,0,5
E01000933,104,24,23,8,49
E01000934,102,86,3,3,10
E01000935,25,2,6,2,15
E01000937,84,1,40,6,37
E01000938,160,6,71,4,79
E01000939,541,30,277,10,224
E01000941,40,2,25,1,12
E01000942,250,7,122,5,116
E01000943,106,2,51,5,48
E01000944,12,0,4,2,6
E01000946,292,26,167,11,88
E01000947,572,35,373,8,156
E01000948,51,6,27,5,13
E01000949,15,0,8,2,5
E01000951,10,0,7,0,3
E01000952,58,4,32,5,17
E01000954,7,0,6,0,1
E01000955,103,2,48,4,49
E01000956,263,0,111,17,135
E01000957,32,3,14,1,14
E01000958,141,70,28,9,34
E01000959,43,1,18,5,19
E01000960,152,54,63,4,31
E01000961,24,10,4,2,8
E01000962,23,0,8,2,13
E01000963,172,2,126,8,36
E01000964,25,0,14,3,8
